Timestamp,500 G Sensor,1000 G Sensor,2000 G Sensor
13:53:41.882960,4.24,15.03,2.24
13:53:42.187166,2.24,14.56,15.07
13:53:42.490667,2.24,19.95,15.33
13:53:42.794959,1.73,14.14,1.0
13:53:43.098824,5.1,5.0,15.13
13:53:43.402692,3.0,2.0,1.41
13:53:43.706580,2.0,4.47,3.16
13:53:44.010590,2.24,2.0,3.74
13:53:44.314484,2.45,7.07,2.45
13:53:44.618041,3.32,15.03,14.0
13:53:44.921939,6.0,14.35,2.0
13:53:45.226030,3.32,2.24,21.26
13:53:45.529839,2.24,13.6,1.73
13:53:45.833870,1.0,6.32,1.41
13:53:46.137837,2.45,3.0,2.83
13:53:46.441543,2.24,4.24,4.24
13:53:46.745211,3.74,12.53,15.52
13:53:47.049393,2.45,5.48,1.73
13:53:47.353378,2.45,2.45,15.13
13:53:47.657158,2.45,12.17,1.0
13:53:47.961169,2.24,5.1,3.32
13:53:48.264715,1.73,1.73,14.14
13:53:48.568515,2.45,3.61,1.41
13:53:48.872784,1.73,4.0,20.62
13:53:49.176654,1.41,4.47,1.41
13:53:49.480621,22.05,32.76,8.12
13:53:49.784335,91.24,136.36,58.09
13:53:50.088198,49.76,104.28,53.39
13:53:50.392268,11.58,102.28,61.07
13:53:50.695967,96.23,194.19,93.43
13:53:50.999817,62.59,255.54,58.03
13:53:51.303984,3.32,15.23,15.17
13:53:51.607906,5.1,17.49,1.73
13:53:51.911628,2.45,2.83,15.26
13:53:52.215682,4.24,15.81,3.0
13:53:52.519543,6.4,7.87,1.73
13:53:52.823485,155.33,173.75,12.45
13:53:53.127338,128.24,140.87,39.56
13:53:53.431113,3.32,4.12,2.24
13:53:53.735159,1.41,14.14,3.16
13:53:54.039143,2.24,3.74,2.0
13:53:54.343034,3.32,15.65,3.0
13:53:54.647172,2.83,7.14,2.24
13:53:54.950771,2.45,15.13,3.32
13:53:55.254803,4.24,3.0,15.17
13:53:55.558692,3.32,3.0,2.45
13:53:55.862383,3.74,2.24,19.21
13:53:56.166225,3.0,2.24,1.73
13:53:56.470152,1.41,7.07,15.07
13:53:56.774338,2.45,7.07,2.83
13:53:57.078314,2.45,5.0,15.07
